Center Image,Left Image,Right Image,Steering,Throttle,Brake,Speed
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_20_341.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_20_341.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_20_341.jpg,0,0,0,3.34E-06
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_20_413.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_20_413.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_20_413.jpg,0,0,0,6.26E-06
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_20_482.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_20_482.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_20_482.jpg,0,0,0,4.57E-06
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_20_549.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_20_549.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_20_549.jpg,0,0,0,1.39E-06
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_20_616.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_20_616.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_20_616.jpg,0,0,0,2.67E-07
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_20_684.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_20_684.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_20_684.jpg,0,0,0,6.58E-07
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_20_756.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_20_756.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_20_756.jpg,0,0,0,1.80E-06
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_20_825.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_20_825.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_20_825.jpg,0,0,0,2.46E-06
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_20_952.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_20_952.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_20_952.jpg,0,0,0,4.59E-06
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_21_086.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_21_086.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_21_086.jpg,0,0,0,2.01E-06
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_21_157.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_21_157.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_21_157.jpg,0,0,0,3.93E-06
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_21_290.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_21_290.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_21_290.jpg,0,0,0,6.56E-06
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_21_419.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_21_419.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_21_419.jpg,0,0,0,7.80E-07
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_21_553.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_21_553.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_21_553.jpg,0,0,0,3.09E-06
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_21_686.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_21_686.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_21_686.jpg,0,0.3896335,0,0.4113765
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_21_757.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_21_757.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_21_757.jpg,0,0.5986147,0,0.9058593
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_21_826.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_21_826.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_21_826.jpg,0,0.8006464,0,1.504178
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_21_896.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_21_896.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_21_896.jpg,0,1,0,2.192899
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_22_022.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_22_022.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_22_022.jpg,0,1,0,3.825913
C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\center_2018_05_09_22_08_22_095.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\left_2018_05_09_22_08_22_095.jpg,C:\Users\xianh\CarND-Behavioral-Cloning-P3\Record\IMG\right_2018_05_09_22_08_22_095.jpg,0,1,0,4.76176
